Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Influenza,States,Oklahoma,2021,Race and Ethnicity,"White, Non-Hispanic",45.2,38.5 to 52.0,232,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2021,Race and Ethnicity,"Black, Non-Hispanic",34.1,28.7 to 39.8,299,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2021,Race and Ethnicity,Hispanic,53.4,48.2 to 58.5,378,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",51.0,45.2 to 56.8,501,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Race and Ethnicity,"White, Non-Hispanic",64.9,57.9 to 71.4,220,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Race and Ethnicity,"Black, Non-Hispanic",59.6,53.5 to 65.5,274,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Race and Ethnicity,Hispanic,70.9,65.8 to 75.6,351,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.3,64.4 to 75.8,469,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2014,Age,>=18 Years,51.1,46.9 to 55.3,1798,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Age,18-24 Years,45.4,38.0 to 53.0,516,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Age,25-34 Years,54.9,49.4 to 60.3,1091,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Age,>=35 Years,47.6,33.3 to 62.2,191,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Race and Ethnicity,"White, Non-Hispanic",51.6,46.3 to 56.9,1100,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Race and Ethnicity,"Black, Non-Hispanic",39.7,25.6 to 55.2,168,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Race and Ethnicity,Hispanic,48.1,34.9 to 61.5,212,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",56.5,46.5 to 66.1,317,OK,2014,905400,233200,2.8505895815712226
Influenza,States,Oklahoma,2015,Race and Ethnicity,"White, Non-Hispanic",54.8,49.7 to 59.8,1134,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,171,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2015,Race and Ethnicity,Hispanic,53.3,42.0 to 64.4,236,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",50.2,41.2 to 59.1,340,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2013,Age,25-34 Years,56.5,51.1 to 61.8,1024,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Age,>=35 Years,59.5,46.6 to 71.5,228,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Race and Ethnicity,"White, Non-Hispanic",54.1,49.0 to 59.2,1137,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,144,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Race and Ethnicity,Hispanic,40.4,29.1 to 52.5,235,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Age,18-24 Years,43.0,35.8 to 50.4,568,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",59.3,48.6 to 69.4,302,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2013,Age,>=18 Years,52.1,48.0 to 56.2,1820,OK,2013,867700,266700,2.8505895815712226
Influenza,States,Oklahoma,2021,Age,>=18 Years,46.7,42.7 to 50.7,1411,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2021,Age,18-24 Years,33.1,26.8 to 39.9,457,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2021,Age,25-34 Years,49.5,44.0 to 55.0,750,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2021,Age,>=35 Years,65.6,56.0 to 74.4,204,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Age,>=18 Years,66.5,62.4 to 70.4,1315,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Age,18-24 Years,62.3,54.4 to 69.8,426,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Age,25-34 Years,67.6,62.0 to 72.8,697,OK,2021,933100,201300,2.8505895815712226
Tdap,States,Oklahoma,2021,Age,>=35 Years,71.3,61.0 to 80.2,192,OK,2021,933100,201300,2.8505895815712226
Influenza,States,Oklahoma,2015,Age,>=18 Years,52.9,49.0 to 56.8,1883,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2015,Age,18-24 Years,46.5,39.4 to 53.7,579,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2015,Age,25-34 Years,53.3,48.0 to 58.5,1054,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2015,Age,>=35 Years,69.1,57.6 to 79.1,250,OK,2015,918400,215600,2.8505895815712226
Influenza,States,Oklahoma,2018,Age,>=18 Years,57.3,53.4 to 61.2,1344,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Age,18-24 Years,54.0,47.3 to 60.6,466,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Age,25-34 Years,58.8,53.5 to 64.0,729,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Age,>=35 Years,58.4,45.4 to 70.6,149,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Race and Ethnicity,"White, Non-Hispanic",56.7,50.3 to 63.0,256,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Race and Ethnicity,"Black, Non-Hispanic",39.1,33.4 to 45.1,281,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Race and Ethnicity,Hispanic,60.1,54.7 to 65.3,346,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",64.8,59.5 to 69.9,459,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2016,Age,>=18 Years,53.4,49.9 to 56.9,1763,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Age,18-24 Years,47.5,41.5 to 53.5,644,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Age,25-34 Years,56.7,51.9 to 61.4,918,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Age,>=35 Years,53.4,42.9 to 63.7,201,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Race and Ethnicity,"White, Non-Hispanic",54.1,48.5 to 59.6,324,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Race and Ethnicity,"Black, Non-Hispanic",37.0,32.2 to 42.0,393,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Race and Ethnicity,Hispanic,58.5,53.7 to 63.2,435,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",54.6,49.6 to 59.5,610,OK,2016,923500,209800,2.8505895815712226
Influenza,States,Oklahoma,2017,Age,>=18 Years,50.3,46.6 to 54.0,1562,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Age,18-24 Years,43.8,37.5 to 50.2,558,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Age,25-34 Years,55.1,50.1 to 60.0,864,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Age,>=35 Years,43.5,31.4 to 56.2,140,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Race and Ethnicity,"White, Non-Hispanic",50.0,43.9 to 56.1,272,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Race and Ethnicity,"Black, Non-Hispanic",44.3,38.9 to 49.8,339,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Race and Ethnicity,Hispanic,56.9,51.9 to 61.8,402,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",49.0,43.3 to 54.7,549,OK,2017,919400,212700,2.8505895815712226
Influenza,States,Oklahoma,2022,Age,>=18 Years,42.2,38.3 to 46.2,1429,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Age,>=35 Years,47.3,36.1 to 58.7,186,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Age,>=18 Years,67.5,63.5 to 71.3,1353,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Age,>=35 Years,64.6,53.0 to 75.0,173,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Age,18-24 Years,37.1,29.9 to 44.8,409,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Age,25-34 Years,43.5,38.4 to 48.7,834,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Age,18-24 Years,66.1,57.9 to 73.6,383,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Age,25-34 Years,68.7,63.5 to 73.6,797,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Race and Ethnicity,"White, Non-Hispanic",40.0,33.5 to 46.8,229,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Race and Ethnicity,"Black, Non-Hispanic",30.0,24.8 to 35.6,296,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Race and Ethnicity,Hispanic,53.5,48.4 to 58.5,400,OK,2022,969800,168400,2.8505895815712226
Influenza,States,Oklahoma,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",43.4,37.4 to 49.5,503,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Race and Ethnicity,"White, Non-Hispanic",64.7,57.8 to 71.2,221,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Race and Ethnicity,"Black, Non-Hispanic",58.0,52.0 to 63.8,281,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Race and Ethnicity,Hispanic,73.7,68.8 to 78.2,373,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.9,68.2 to 79.1,477,OK,2022,969800,168400,2.8505895815712226
Tdap,States,Oklahoma,2013,Age,25-34 Years,27.8,22.8 to 33.3,878,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2014,Age,25-34 Years,42.4,36.8 to 48.2,959,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2016,Age,25-34 Years,69.3,64.6 to 73.7,844,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2018,Age,25-34 Years,75.3,70.4 to 79.8,693,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2017,Age,25-34 Years,75.6,71.1 to 79.7,795,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2014,Age,>=35 Years,24.1,13.1 to 38.3,174,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2013,Age,>=35 Years,23.9,13.0 to 38.0,197,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2015,Age,25-34 Years,50.4,44.9 to 55.9,914,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2012,Age,>=35 Years,NR*,NR*,149,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2016,Age,>=35 Years,56.6,45.6 to 67.2,186,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2017,Age,>=35 Years,66.5,52.8 to 78.4,122,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2018,Age,>=35 Years,71.3,57.5 to 82.7,135,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2014,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,141,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,114,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2016,Race and Ethnicity,"Black, Non-Hispanic",58.1,52.9 to 63.2,369,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2015,Age,>=35 Years,49.4,37.3 to 61.6,221,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,127,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2018,Race and Ethnicity,"Black, Non-Hispanic",62.0,55.8 to 67.9,259,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2017,Race and Ethnicity,"Black, Non-Hispanic",66.2,60.5 to 71.6,302,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2016,Race and Ethnicity,"White, Non-Hispanic",68.7,63.2 to 73.9,304,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2017,Race and Ethnicity,"White, Non-Hispanic",77.5,71.9 to 82.5,256,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2013,Race and Ethnicity,"White, Non-Hispanic",27.1,22.4 to 32.2,980,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2012,Race and Ethnicity,"White, Non-Hispanic",15.5,11.7 to 20.0,930,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2014,Race and Ethnicity,"White, Non-Hispanic",42.0,36.5 to 47.7,984,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2015,Race and Ethnicity,"White, Non-Hispanic",50.0,44.7 to 55.3,1018,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",77.8,72.4 to 82.6,435,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",75.6,70.5 to 80.2,506,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",38.3,27.7 to 49.8,250,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",18.3,10.3 to 28.9,265,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",74.3,69.5 to 78.7,562,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",39.9,29.8 to 50.7,273,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",55.4,45.6 to 64.9,277,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2016,Race and Ethnicity,Hispanic,70.1,65.3 to 74.6,388,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2017,Race and Ethnicity,Hispanic,68.3,63.3 to 73.0,365,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2018,Race and Ethnicity,Hispanic,73.6,68.2 to 78.5,302,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,140,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2013,Race and Ethnicity,Hispanic,18.3,9.6 to 30.3,197,OK,2013,867700,266700,2.8505895815712226
