Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State
Influenza,States,Oklahoma,2021,Race and Ethnicity,"White, Non-Hispanic",45.2,38.5 to 52.0,232,OK
Influenza,States,Oklahoma,2021,Race and Ethnicity,"Black, Non-Hispanic",34.1,28.7 to 39.8,299,OK
Influenza,States,Oklahoma,2021,Race and Ethnicity,Hispanic,53.4,48.2 to 58.5,378,OK
Influenza,States,Oklahoma,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",51.0,45.2 to 56.8,501,OK
Tdap,States,Oklahoma,2021,Race and Ethnicity,"White, Non-Hispanic",64.9,57.9 to 71.4,220,OK
Tdap,States,Oklahoma,2021,Race and Ethnicity,"Black, Non-Hispanic",59.6,53.5 to 65.5,274,OK
Tdap,States,Oklahoma,2021,Race and Ethnicity,Hispanic,70.9,65.8 to 75.6,351,OK
Tdap,States,Oklahoma,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",70.3,64.4 to 75.8,469,OK
Influenza,States,Oklahoma,2014,Age,>=18 Years,51.1,46.9 to 55.3,1798,OK
Influenza,States,Oklahoma,2014,Age,18-24 Years,45.4,38.0 to 53.0,516,OK
Influenza,States,Oklahoma,2014,Age,25-34 Years,54.9,49.4 to 60.3,1091,OK
Influenza,States,Oklahoma,2014,Age,>=35 Years,47.6,33.3 to 62.2,191,OK
Influenza,States,Oklahoma,2014,Race and Ethnicity,"White, Non-Hispanic",51.6,46.3 to 56.9,1100,OK
Influenza,States,Oklahoma,2014,Race and Ethnicity,"Black, Non-Hispanic",39.7,25.6 to 55.2,168,OK
Influenza,States,Oklahoma,2014,Race and Ethnicity,Hispanic,48.1,34.9 to 61.5,212,OK
Influenza,States,Oklahoma,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",56.5,46.5 to 66.1,317,OK
Influenza,States,Oklahoma,2015,Race and Ethnicity,"White, Non-Hispanic",54.8,49.7 to 59.8,1134,OK
Influenza,States,Oklahoma,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,171,OK
Influenza,States,Oklahoma,2015,Race and Ethnicity,Hispanic,53.3,42.0 to 64.4,236,OK
Influenza,States,Oklahoma,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",50.2,41.2 to 59.1,340,OK
Influenza,States,Oklahoma,2013,Age,25-34 Years,56.5,51.1 to 61.8,1024,OK
Influenza,States,Oklahoma,2013,Age,>=35 Years,59.5,46.6 to 71.5,228,OK
Influenza,States,Oklahoma,2013,Race and Ethnicity,"White, Non-Hispanic",54.1,49.0 to 59.2,1137,OK
Influenza,States,Oklahoma,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,144,OK
Influenza,States,Oklahoma,2013,Race and Ethnicity,Hispanic,40.4,29.1 to 52.5,235,OK
Influenza,States,Oklahoma,2013,Age,18-24 Years,43.0,35.8 to 50.4,568,OK
Influenza,States,Oklahoma,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",59.3,48.6 to 69.4,302,OK
Influenza,States,Oklahoma,2013,Age,>=18 Years,52.1,48.0 to 56.2,1820,OK
Influenza,States,Oklahoma,2021,Age,>=18 Years,46.7,42.7 to 50.7,1411,OK
Influenza,States,Oklahoma,2021,Age,18-24 Years,33.1,26.8 to 39.9,457,OK
Influenza,States,Oklahoma,2021,Age,25-34 Years,49.5,44.0 to 55.0,750,OK
Influenza,States,Oklahoma,2021,Age,>=35 Years,65.6,56.0 to 74.4,204,OK
Tdap,States,Oklahoma,2021,Age,>=18 Years,66.5,62.4 to 70.4,1315,OK
Tdap,States,Oklahoma,2021,Age,18-24 Years,62.3,54.4 to 69.8,426,OK
Tdap,States,Oklahoma,2021,Age,25-34 Years,67.6,62.0 to 72.8,697,OK
Tdap,States,Oklahoma,2021,Age,>=35 Years,71.3,61.0 to 80.2,192,OK
Influenza,States,Oklahoma,2015,Age,>=18 Years,52.9,49.0 to 56.8,1883,OK
Influenza,States,Oklahoma,2015,Age,18-24 Years,46.5,39.4 to 53.7,579,OK
Influenza,States,Oklahoma,2015,Age,25-34 Years,53.3,48.0 to 58.5,1054,OK
Influenza,States,Oklahoma,2015,Age,>=35 Years,69.1,57.6 to 79.1,250,OK
Influenza,States,Oklahoma,2018,Age,>=18 Years,57.3,53.4 to 61.2,1344,OK
Influenza,States,Oklahoma,2018,Age,18-24 Years,54.0,47.3 to 60.6,466,OK
Influenza,States,Oklahoma,2018,Age,25-34 Years,58.8,53.5 to 64.0,729,OK
Influenza,States,Oklahoma,2018,Age,>=35 Years,58.4,45.4 to 70.6,149,OK
Influenza,States,Oklahoma,2018,Race and Ethnicity,"White, Non-Hispanic",56.7,50.3 to 63.0,256,OK
Influenza,States,Oklahoma,2018,Race and Ethnicity,"Black, Non-Hispanic",39.1,33.4 to 45.1,281,OK
Influenza,States,Oklahoma,2018,Race and Ethnicity,Hispanic,60.1,54.7 to 65.3,346,OK
Influenza,States,Oklahoma,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",64.8,59.5 to 69.9,459,OK
Influenza,States,Oklahoma,2016,Age,>=18 Years,53.4,49.9 to 56.9,1763,OK
Influenza,States,Oklahoma,2016,Age,18-24 Years,47.5,41.5 to 53.5,644,OK
Influenza,States,Oklahoma,2016,Age,25-34 Years,56.7,51.9 to 61.4,918,OK
Influenza,States,Oklahoma,2016,Age,>=35 Years,53.4,42.9 to 63.7,201,OK
Influenza,States,Oklahoma,2016,Race and Ethnicity,"White, Non-Hispanic",54.1,48.5 to 59.6,324,OK
Influenza,States,Oklahoma,2016,Race and Ethnicity,"Black, Non-Hispanic",37.0,32.2 to 42.0,393,OK
Influenza,States,Oklahoma,2016,Race and Ethnicity,Hispanic,58.5,53.7 to 63.2,435,OK
